[00:00:00.000 --> 00:00:04.000]   [ Inaudible ]
[00:49:20.000 --> 00:49:27.000]   so that every firm dealing with personal data
[00:49:27.000 --> 00:49:35.000]   will have the same amount of duties and obligations.
[00:49:35.000 --> 00:49:39.000]   And on the other side, to create a safe environment
[00:49:39.000 --> 00:49:49.000]   for the collection, the processing of personal data,
[00:49:49.000 --> 00:50:00.000]   which are believed to be a valuable economic asset.
[00:50:00.000 --> 00:50:03.000]   What are the consequences?
[00:50:03.000 --> 00:50:13.000]   What if I do not take adequate technical and organizational measures?
[00:50:13.000 --> 00:50:18.000]   Well, liability.
[00:50:18.000 --> 00:50:38.000]   The primary sanction is civil liability.
[00:50:38.000 --> 00:50:44.000]   The data subject shall have the right to compensation
[00:50:44.000 --> 00:50:52.000]   whenever there is a data breach,
[00:50:52.000 --> 00:50:59.000]   which leads to the problem of the effectiveness of such a sanction.
[00:50:59.000 --> 00:51:13.000]   Because in order to claim the damage, you need to be aware of it.
[00:51:13.000 --> 00:51:23.000]   And most of the time, data breaches are kept secret.
[00:51:23.000 --> 00:51:30.000]   So that's obviously the problem.
[00:51:30.000 --> 00:51:38.000]   Even though, as you see,
[00:51:38.000 --> 00:51:43.000]   Article 33 says that in the case of a personal data breach,
[00:51:43.000 --> 00:51:48.000]   the controller shall without a new delay and were feasible
[00:51:48.000 --> 00:51:53.000]   not later than 72 hours after, I then became aware of it,
[00:51:53.000 --> 00:51:58.000]   notify the personal data breach to the supervisory authority
[00:51:58.000 --> 00:52:04.000]   competency in accordance with Article 55.
[00:52:04.000 --> 00:52:08.000]   Unless the personal data breaches are likely to result in a risk
[00:52:08.000 --> 00:52:13.000]   to the rights and freedom of national persons.
[00:52:13.000 --> 00:52:27.000]   So there is a specific duty to make data breaches known
[00:52:27.000 --> 00:52:35.000]   to the supervisory authority.
[00:52:35.000 --> 00:52:42.000]   Article 34 also says that when the personal data breach
[00:52:42.000 --> 00:52:46.000]   is likely to result in a high risk to the rights and freedom
[00:52:46.000 --> 00:52:49.000]   of national persons, the controller shall communicate
[00:52:49.000 --> 00:52:54.000]   the personal data breach to the data subject without a new delay.
[00:52:54.000 --> 00:52:58.000]   As you see, we have two regimes here.
[00:52:58.000 --> 00:53:03.000]   We have a very specific and tight set of rules
[00:53:03.000 --> 00:53:08.000]   for notification to the supervisory authority.
[00:53:08.000 --> 00:53:15.000]   And on the other side, we have a more...
[00:53:15.000 --> 00:53:22.000]   How can I describe it?
[00:53:22.000 --> 00:53:37.000]   A less tight rule for the communication to the data subject.
[00:53:37.000 --> 00:53:42.000]   Clear and plain language.
[00:53:42.000 --> 00:53:46.000]   That's important.
[00:53:46.000 --> 00:53:53.000]   We will probably see some references to the clear plain language
[00:53:53.000 --> 00:53:56.000]   in different rules too.
[00:53:56.000 --> 00:54:02.000]   Then we have Article 44 and followings.
[00:54:02.000 --> 00:54:28.000]   The international flow personally.
[00:54:28.000 --> 00:54:36.000]   Chapter 5 of the regulation sets a set of principles
[00:54:36.000 --> 00:54:42.000]   in order to make the transfer to third countries possible
[00:54:42.000 --> 00:54:50.000]   but only under some requirements and condition.
[00:54:50.000 --> 00:55:00.000]   The basic principle is given by Article 45,
[00:55:00.000 --> 00:55:03.000]   a transfer of personal data to a third country
[00:55:03.000 --> 00:55:06.000]   or an international organization may take place
[00:55:06.000 --> 00:55:11.000]   where the commission has decided that the third country,
[00:55:11.000 --> 00:55:18.000]   an territory or one or more specific sectors
[00:55:18.000 --> 00:55:22.000]   within that third country or the international organization
[00:55:22.000 --> 00:55:30.000]   in question ensures an adequate level of protection.
[00:55:30.000 --> 00:55:34.000]   And that case as a transfer does not require
[00:55:34.000 --> 00:55:38.000]   any specific authorization.
[00:55:38.000 --> 00:55:42.000]   As far as I know, we didn't have many decisions
[00:55:42.000 --> 00:55:46.000]   about the commission,
[00:55:46.000 --> 00:55:53.000]   but one important decision was made about the United Kingdom.
[00:55:53.000 --> 00:56:00.000]   After Brexit, the United Kingdom left the European Union
[00:56:00.000 --> 00:56:10.000]   starting from 2021.
[00:56:10.000 --> 00:56:18.000]   The problem was that by leaving the European Union,
[00:56:18.000 --> 00:56:24.000]   the United Kingdom was also leaving the internal market.
[00:56:24.000 --> 00:56:28.000]   And you remember, the regulation is about an internal market
[00:56:28.000 --> 00:56:34.000]   for personal data.
[00:56:34.000 --> 00:56:40.000]   So by becoming a third country, the United Kingdom
[00:56:40.000 --> 00:56:48.000]   did have to provide assurances about the ongoing level
[00:56:48.000 --> 00:56:52.000]   of protection of privacy.
[00:56:52.000 --> 00:56:56.000]   And given the fact that the United Kingdom still had
[00:56:56.000 --> 00:57:01.000]   and has legislation on privacy which is compatible
[00:57:01.000 --> 00:57:05.000]   with the legislation of the European Union,
[00:57:05.000 --> 00:57:12.000]   that led to the approval of an anti-racism decision
[00:57:12.000 --> 00:57:16.000]   by the commission.
[00:57:16.000 --> 00:57:19.000]   That leads me to...
[00:57:19.000 --> 00:57:46.000]   [no audio]
[00:57:46.000 --> 00:57:50.000]   to one aspect of the regulation,
[00:57:50.000 --> 00:57:52.000]   the so-called "Brassen Effect."
[00:57:52.000 --> 00:58:16.000]   [no audio]
[00:58:16.000 --> 00:58:20.000]   Article 3, territorial scope.
[00:58:20.000 --> 00:58:23.000]   This regulation applies to the processing of personal data
[00:58:23.000 --> 00:58:26.000]   in the context of the activities of an establishment
[00:58:26.000 --> 00:58:31.000]   of a controller or a processor in the union,
[00:58:31.000 --> 00:58:34.000]   regardless of whether the processing
[00:58:34.000 --> 00:58:39.000]   takes place in the union or not.
[00:58:39.000 --> 00:58:43.000]   This regulation applies to the processing of personal data,
[00:58:43.000 --> 00:58:47.000]   of data subject who are in the union,
[00:58:47.000 --> 00:58:51.000]   by a controller or processor not established in the union,
[00:58:51.000 --> 00:58:55.000]   where the processing activities are related to
[00:58:55.000 --> 00:59:03.000]   one offering of goods or services irrespective
[00:59:03.000 --> 00:59:09.000]   of whether the payment of the data subject is required.
[00:59:09.000 --> 00:59:14.000]   Or monitoring the behavior as far as the behavior takes place
[00:59:14.000 --> 00:59:17.000]   in the union.
[00:59:17.000 --> 00:59:24.000]   So, if there is an establishment of the controller
[00:59:24.000 --> 00:59:30.000]   within the union, that falls within the meaning
[00:59:30.000 --> 00:59:35.000]   of the regulation.
[00:59:35.000 --> 00:59:40.000]   But even if there is no establishment
[00:59:40.000 --> 00:59:44.000]   of the processor in the union,
[00:59:44.000 --> 00:59:48.000]   that is to say the processor, the controller,
[00:59:48.000 --> 00:59:54.000]   is outside the European Union, like in the United States,
[00:59:54.000 --> 01:00:00.000]   but that outside entity is offering services
[01:00:00.000 --> 01:00:06.000]   or goods even for free to a European citizen,
[01:00:06.000 --> 01:00:12.000]   then there is a processing of personal data
[01:00:12.000 --> 01:00:20.000]   under the European regulation.
[01:00:20.000 --> 01:00:25.000]   And the same for monitoring the behavior of a person
[01:00:25.000 --> 01:00:31.000]   who is located in the European Union.
[01:00:31.000 --> 01:00:41.000]   That is to say, as you see, the European regulation
[01:00:41.000 --> 01:00:47.000]   is applied not just with the borders of the European Union,
[01:00:47.000 --> 01:00:50.000]   but also outside.
[01:00:50.000 --> 01:00:58.000]   In other words, it has a global effect.
[01:00:58.000 --> 01:01:06.000]   You know, lawyers are used to the concept
[01:01:06.000 --> 01:01:16.000]   that the law is a national phenomenon.
[01:01:16.000 --> 01:01:19.000]   It is not possible to apply Italian law in Switzerland
[01:01:19.000 --> 01:01:25.000]   or Germany.
[01:01:25.000 --> 01:01:34.000]   But instead, the privacy regulation of the EU
[01:01:34.000 --> 01:01:44.000]   applies also to entities outside the borders of the union.
[01:01:44.000 --> 01:01:49.000]   This is the Brussels effect.
[01:01:49.000 --> 01:01:59.000]   The fact that the GDPR has the status of the global regulation
[01:01:59.000 --> 01:02:06.000]   that applies to everyone dealing with personal data,
[01:02:06.000 --> 01:02:14.000]   of data subjects who are European citizens.
[01:02:14.000 --> 01:02:22.000]   And this is the reason why the GDPR has become
[01:02:22.000 --> 01:02:28.000]   a global model of privacy regulation.
[01:02:28.000 --> 01:02:35.000]   Many different countries have adopted a regulation
[01:02:35.000 --> 01:02:42.000]   which is comparable to the GDPR.
[01:02:42.000 --> 01:02:46.000]   And the result is twofold.
[01:02:46.000 --> 01:02:59.000]   First, to have the possibility to require,
[01:02:59.000 --> 01:03:07.000]   to ask for an advocacy decision by the Commission.
[01:03:07.000 --> 01:03:13.000]   And so, if a state outside the union
[01:03:13.000 --> 01:03:16.000]   has a regulation on privacy
[01:03:16.000 --> 01:03:24.000]   which is similar to the regulation of the European Union,
[01:03:24.000 --> 01:03:32.000]   the interchange of personal information
[01:03:32.000 --> 01:03:38.000]   is possible without authorization.
[01:03:38.000 --> 01:03:52.000]   So, by adopting such a type of regulation,
[01:03:52.000 --> 01:04:06.000]   a third country may have access to the European Union
[01:04:06.000 --> 01:04:14.000]   in terms of personal data flows.
[01:04:14.000 --> 01:04:20.000]   The other aspect is the fact that the European Union
[01:04:20.000 --> 01:04:26.000]   is capable of regulating something globally
[01:04:26.000 --> 01:04:33.000]   because of economic power.
[01:04:33.000 --> 01:04:36.000]   European Union is the biggest market in the world.
[01:04:36.000 --> 01:04:41.000]   And so, if you want to do business in the biggest market in the world,
[01:04:41.000 --> 01:04:49.000]   you need to comply with the regulation of that market.
[01:04:49.000 --> 01:04:58.000]   And this is the reason why the privacy regulation
[01:04:58.000 --> 01:05:13.000]   of the European Union has a global status.
[01:05:13.000 --> 01:05:20.000]   This is also the reason why the European Union is rushing to adopt
[01:05:20.000 --> 01:05:25.000]   a regulation on artificial intelligence
[01:05:25.000 --> 01:05:29.000]   probably in the form of a directive
[01:05:29.000 --> 01:05:36.000]   because the European Union wants to lead
[01:05:36.000 --> 01:05:53.000]   on the regulation of that technology too.
[01:05:53.000 --> 01:06:10.000]   Lastly, the scope.
[01:06:10.000 --> 01:06:15.000]   As you see, Article 2, this regulation applies to the process
[01:06:15.000 --> 01:06:19.000]   of personal data, all your path without by automated means
[01:06:19.000 --> 01:06:27.000]   and to the processing other than by automated means of personal data
[01:06:27.000 --> 01:06:30.000]   which form part of a filing system
[01:06:30.000 --> 01:06:36.000]   or are intended to form a part of a filing system.
[01:06:36.000 --> 01:06:47.000]   The regulation does not apply to the processing of personal data.
[01:06:47.000 --> 01:06:59.000]   Well, see, by a national person in the course of a purely personal or outside activity.
[01:06:59.000 --> 01:07:07.000]   So, even keeping phone numbers on your cell phone
[01:07:07.000 --> 01:07:12.000]   as long as you're doing that for professional reasons
[01:07:12.000 --> 01:07:20.000]   like taking care of your customers and stuff like that,
[01:07:20.000 --> 01:07:28.000]   that falls within the scope of the regulation.
[01:07:28.000 --> 01:07:39.000]   So, every processing.
[01:07:39.000 --> 01:07:58.000]   There are other rules which may be interesting.
[01:07:58.000 --> 01:08:01.000]   Article 7, for instance.
[01:08:01.000 --> 01:08:06.000]   We have seen that the foundation of the processing,
[01:08:06.000 --> 01:08:13.000]   when the processing is not required by the law, is the consent.
[01:08:13.000 --> 01:08:21.000]   And Article 7 regulates the consent.
[01:08:21.000 --> 01:08:23.000]   Where processing is based on consent,
[01:08:23.000 --> 01:08:26.000]   the controller should be able to demonstrate that the data subject
[01:08:26.000 --> 01:08:33.000]   that has consented to the processing of his or her personal data.
[01:08:33.000 --> 01:08:44.000]   Well, this probably seems a very interesting rule,
[01:08:44.000 --> 01:08:50.000]   but that's very important instead.
[01:08:50.000 --> 01:08:58.000]   It is the processor that must give evidence of the consent.
[01:08:58.000 --> 01:09:13.000]   And not the data subject that has to prove that he or she didn't express any consent.
[01:09:13.000 --> 01:09:19.000]   If the data subject's consent is given in the context of a written declaration,
[01:09:19.000 --> 01:09:24.000]   which also concerns other matters,
[01:09:24.000 --> 01:09:38.000]   think about turn of services or websites, social network or stuff like that.
[01:09:38.000 --> 01:09:42.000]   The request for consent shall be presented in a manner
[01:09:42.000 --> 01:09:47.000]   which is clearly distinguishable from the other matters
[01:09:47.000 --> 01:09:55.000]   in an intelligible and easily accessible form using clear and plain language.
[01:09:55.000 --> 01:10:03.000]   You see, clear and plain language.
[01:10:03.000 --> 01:10:07.000]   Any part of such a declaration which constitutes an infringement
[01:10:07.000 --> 01:10:14.000]   of this revelation shall not be binding.
[01:10:14.000 --> 01:10:29.000]   I don't know if Article 7 paragraph 2 is effectively implemented online.
[01:10:29.000 --> 01:10:38.000]   Sometimes I have the feeling it is not.
[01:10:38.000 --> 01:10:53.000]   But privacy policies should be written in a very easily intelligible way.
[01:10:53.000 --> 01:11:02.000]   That's a clear requirement of the regulation.
[01:11:02.000 --> 01:11:29.000]   After that, it is not a problem if people will just keep on accepting every possible privacy policy.
[01:11:29.000 --> 01:11:38.000]   I don't know a final consideration, maybe.
[01:11:38.000 --> 01:11:51.000]   How much effective is DG DPR in protecting the privacy of people?
[01:11:51.000 --> 01:12:04.000]   As you see, the regulation is very full of principles,
[01:12:04.000 --> 01:12:13.000]   procedural requirements, and so on and so forth.
[01:12:13.000 --> 01:12:22.000]   That should make the processing of personal data safer generally in Europe
[01:12:22.000 --> 01:12:39.000]   or by the processing by any entity dealing with personal data of European citizens.
[01:12:39.000 --> 01:12:49.000]   On the other side, as I said, if people are willing to share their personal data
[01:12:49.000 --> 01:12:56.000]   because they do not understand their value, well, that's outside the scope of a regulation
[01:12:56.000 --> 01:13:06.000]   and the scope of a legal order.
[01:13:06.000 --> 01:13:16.000]   The legal order must take any step in order to make a digital environment safer
[01:13:16.000 --> 01:13:25.000]   than people are protecting their own interests.
[01:13:25.000 --> 01:13:31.000]   Do you have any question?
[01:13:31.000 --> 01:13:37.000]   Well, I think this is it, as I said.
[01:13:37.000 --> 01:13:48.000]   We cannot read the entire regulation together, but I would like you to read.
[01:13:48.000 --> 01:14:00.000]   As I said, it's going to impact your future career anyway as long as you remain in Europe
[01:14:00.000 --> 01:14:14.000]   or you will deal with personal data of European people.
[01:14:14.000 --> 01:14:16.600]   Okay, so thank you very much for your kind attention.
[01:14:16.600 --> 01:14:18.840]   I'm closing my lecture now.
