[00:00:00.000 --> 00:00:26.000]   [ Silence ]
[00:38:51.000 --> 00:39:00.000]   but is a video game something which can be related to an artistic or scientific or literary works?
[00:39:00.000 --> 00:39:07.000]   You remember I told you Article 2 of the Berne Convention is just a list of examples,
[00:39:07.000 --> 00:39:11.000]   so judges are allowed to extend that list.
[00:39:11.000 --> 00:39:17.000]   The problem judges were facing, is computer program something that,
[00:39:17.000 --> 00:39:23.000]   for its very nature, can be included in that list.
[00:39:23.000 --> 00:39:31.000]   Well, since there were no other tools, judges say, well yes,
[00:39:31.000 --> 00:39:36.000]   we apply copyright.
[00:39:36.000 --> 00:39:44.000]   A video game, after all, has some kind of artistic nature.
[00:39:46.000 --> 00:39:53.000]   I can doubt you, you know.
[00:39:54.000 --> 00:40:17.000]   [silence]
[00:40:17.000 --> 00:40:20.000]   [sighs]
[00:40:20.000 --> 00:40:31.000]   Do you remember this stuff?
[00:40:31.000 --> 00:40:38.000]   Did you play with this stuff? Yes? Great.
[00:40:40.000 --> 00:40:48.000]   So you don't remember any movie before the 2010,
[00:40:48.000 --> 00:40:54.000]   but you remember a game that was played in 1872. Great.
[00:40:54.000 --> 00:41:01.000]   Well, you're a computer scientist, so you're a cheeky, I can understand that.
[00:41:01.000 --> 00:41:07.000]   Does it have an artistic nature? I don't really know.
[00:41:07.000 --> 00:41:11.000]   But, you know, that's it.
[00:41:11.000 --> 00:41:20.000]   This one was nice, but...
[00:41:20.000 --> 00:41:25.000]   What was that? That's not that one.
[00:41:25.000 --> 00:41:30.000]   That stuff is...
[00:41:32.000 --> 00:41:37.000]   You may understand, I don't like video games. I find them so boring.
[00:41:37.000 --> 00:41:44.000]   But that's just my taste. I don't want to claim any intellectual superiority.
[00:41:44.000 --> 00:41:53.000]   It's just that I get bored. I'm so bad at playing them, so I cannot enjoy myself.
[00:41:53.000 --> 00:41:55.000]   Anyway.
[00:41:56.000 --> 00:42:03.000]   That were the controversies of the first court decisions.
[00:42:03.000 --> 00:42:15.000]   So, at a certain point in the European Union, I understand they had to, you know, adapt...
[00:42:24.000 --> 00:42:30.000]   ...to the common legislation because...
[00:42:30.000 --> 00:42:42.000]   ...because that was the requirement for making possible market possible.
[00:42:42.000 --> 00:42:47.000]   Sorry. A single market possible.
[00:42:47.000 --> 00:42:50.000]   You know...
[00:42:52.000 --> 00:42:58.000]   Keep in mind, one of the reasons, and we will see that when talking about privacy...
[00:42:58.000 --> 00:43:09.000]   ...one of the reasons of the existence of the European Union is to create common rules that can apply to every market actor within the European Union.
[00:43:11.000 --> 00:43:30.000]   And having a common rule about computer programs was the only way to have a single market of computer programs.
[00:43:33.000 --> 00:43:52.000]   So, the directive was adopted in 1991, 11 years after the adoption of the computer program copyright tax by the United States.
[00:43:52.000 --> 00:43:59.000]   But that directive was later on repealed by the directive 2009 number 24.
[00:43:59.000 --> 00:44:18.000]   Which actually has the same title. I believe in the same rules. I didn't change very much. I didn't see very much change.
[00:44:18.000 --> 00:44:27.000]   Sorry. Today my English sucks far more than usual. Be patient. I'm really sorry.
[00:44:28.000 --> 00:44:39.000]   That happens when I'm tired. I shouldn't be tired. I should go to bed to work in order to be fresh.
[00:44:39.000 --> 00:44:43.000]   But that's what happened yesterday.
[00:44:44.000 --> 00:45:02.000]   Article 1 of the European directive. In accordance with the provision of this directive, member states should protect computer programs by copyright as literary work within the meaning of the Berne Convention of Protection of Literary Artistic Work.
[00:45:02.000 --> 00:45:11.000]   For the purpose of this directive, the term computer program shall include their preparatory design material.
[00:45:12.000 --> 00:45:20.000]   You know, a clear, specific decision. The legal tool you're going to use to protect computer programs is copyright.
[00:45:20.000 --> 00:45:35.000]   You know, I remember Pamela Samuelson, she was a very brilliant American legal scholar, who wrote a huge number of contributions trying to explain to everyone,
[00:45:36.000 --> 00:45:48.000]   "Look, copyright is not the right tool. We should be creating a specific tool, a specific legal tool for protecting software."
[00:45:49.000 --> 00:46:11.000]   To let people, you know, decompile, create derivative programs, to create an environment where software, yes, is an asset, an economic asset, but it is also the basis for the creation for something more.
[00:46:13.000 --> 00:46:21.000]   But she has a democratic idea of what the internet should have become, you know, she lost.
[00:46:21.000 --> 00:46:41.000]   Because the industry had the money to lobby Congress, European Parliament, and get the legislation they wanted.
[00:46:42.000 --> 00:46:55.000]   You remember copyright is going to last 70 years after the author's death. What is the value of a piece of software 70 years after the death of the author?
[00:46:55.000 --> 00:46:58.000]   History.
[00:47:05.000 --> 00:47:14.000]   Protection in accordance with this directive shall apply to the extraction in any form of the computer program.
[00:47:15.000 --> 00:47:43.000]   The principles which underline any element of the computer program, including those which underline these interfaces, are not protected by copyright under this directive. You remember the importance in that specific domain of the distinction between ideas and expression.
[00:47:43.000 --> 00:48:04.000]   That is the reason why LibreOffice and Microsoft Office have a very similar user interface. Even though LibreOffice is a serious program, Microsoft Word is not.
[00:48:05.000 --> 00:48:23.000]   Microsoft Word is the basic principles of what you see is what you get. And usually you get a mess. While LibreOffice is meant to be a yes, what you see, what you get.
[00:48:25.000 --> 00:48:53.000]   Based on structure. And indeed no one, or no one. I'm sure you are very proficient in using LibreOffice, but I keep seeing, I keep watching people who do not know how to use LibreOffice because they think it is the same piece of trash like Microsoft Office.
[00:48:54.000 --> 00:49:11.000]   Sorry if I keep talking about my personal ideas, but you know I have a strong sentiment on computer science, unfortunately. I shouldn't be teaching it. I should state the legal system.
[00:49:12.000 --> 00:49:28.000]   Anyway, article two. Another important article. In respect of computer programs created by a group of national persons jointly, the exclusive right shall be owned jointly.
[00:49:28.000 --> 00:49:37.000]   Do you have any idea why I'm reading this rule?
[00:49:41.000 --> 00:49:47.000]   Because now every piece of major software is done by multiple people.
[00:49:50.000 --> 00:50:18.000]   Yes, you are right, but do you remember a difference between what we said about the US and European copyright legislation? No. So, 12. Agree? Sorry. Just kidding.
[00:50:19.000 --> 00:50:35.000]   If you remember, I told you that in the US copyright is basically related to the economic domain. You remember we were talking about Gaster writing.
[00:50:37.000 --> 00:50:54.000]   So you can get rid of your copyright ownership if we want to call it like this. In Europe you said that is not possible. Do you remember we were talking about moral right?
[00:50:55.000 --> 00:51:21.000]   The fact that you have the right to claim a path of authorship and that right cannot be taken away from you. This is the reason why in Europe we do not have Gaster writers while we do that.
[00:51:22.000 --> 00:51:45.000]   They are not protected by the law. You remember that is a point. Now, think about a huge free software project. I know the biggest one I may be thinking of is the Linux camera.
[00:51:47.000 --> 00:51:59.000]   Do you have any idea of the organization of the Linux camera? Kind of. You know what I am talking about right?
[00:52:00.000 --> 00:52:23.000]   A thousand thousand people contributing code. Sometimes just bad reports, but sometimes big chunk of code. According to that article, the Linux camera is not just a piece of code by a mean store.
[00:52:24.000 --> 00:52:44.000]   It is jointly owned by every contributor. Suppose that I steal the code of the Linux camera and I make it a proprietary version. That is copyright infringement. Do you agree?
[00:52:46.000 --> 00:53:06.000]   Can you assume it? In many jurisdictions you could, but for instance in Italy, if you sue someone for protecting something which is commonly owned by different people,
[00:53:07.000 --> 00:53:33.000]   suppose someone is going to steal the car I jointly owned with my wife. In Italy, I cannot sue without the participation of my wife.
[00:53:34.000 --> 00:53:54.000]   Protecting a joint ownership requires the action of every member of the joint ownership. Clear? Move that to the Linux camera.
[00:53:55.000 --> 00:54:11.000]   If you want the Linux camera to be protected in an Italian court, you need to bring to that court everyone that contributed some substantial piece of software to the Linux camera.
[00:54:12.000 --> 00:54:29.000]   Do you think that this is possible from a practical perspective? It is not. And you know why the Free Software Foundation has a different approach. And you know what is the different approach of the Free Software Foundation.
[00:54:30.000 --> 00:54:55.000]   Did you ever contribute some code to the Free Software Foundation for the Linux project? If you want to contribute even a single line of code to a project within the umbrella of the Free Software Foundation, you need to decide what is called an FRA.
[00:54:55.000 --> 00:55:22.000]   FRA, which stands for a Fiduciary License Agreement, according to which you are transferring the ownership of every piece of code you wrote to the Free Software Foundation.
[00:55:23.000 --> 00:55:42.000]   The GNU project is owned, the copyright over the GNU project is owned only by the Free Software Foundation and not by the single authors. Why? Because of that.
[00:55:43.000 --> 00:55:53.000]   Because there are jurisdictions where something jointly written must be jointly protected.
[00:55:58.000 --> 00:56:27.000]   Obviously there is an exception. Whereas a computer program is created by an employee in execution of his duties or following the instructions given by his employer, the employer exclusively shall be entitled to exercise all economic rights in the program.
[00:56:27.000 --> 00:56:40.000]   So created, unless otherwise provided by contract. Now you understand, if you are working for Microsoft everything goes to Microsoft.
[00:56:40.000 --> 00:56:49.000]   If you are working for, I don't know, in a software house, everything goes to the software house.
[00:56:50.000 --> 00:57:06.000]   Unlike there is a specific contract. The Linux kernel is outside of that. And this is the reason why...
[00:57:08.000 --> 00:57:20.000]   Ready, Moon?
[00:57:20.000 --> 00:57:40.000]   [ Pause ]
[00:57:41.000 --> 00:58:04.000]   I wrote this. Maybe. Even Wikipedia.
[00:58:05.000 --> 00:58:22.000]   Raymond wrote that book in order to describe the different organizational structure that divide the Linux kernel development and the GNU project.
[00:58:23.000 --> 00:58:35.000]   And you probably know that Richard Stanford who was the founder of the GNU project is very upset about that.
[00:58:35.000 --> 00:58:45.000]   Indeed he wants to call what we are usually calling the Linux operating system the GNU Linux operating system.
[00:58:46.000 --> 00:59:00.000]   Linux without GNU would not work. Linux doesn't have a standard library. You cannot run on the Linux kernel unless you are using the GNU C standard library.
[00:59:03.000 --> 00:59:32.000]   While Linux is a very distributed informal form of cooperation which falls within paragraph 2 of article 2 of the Linux kernel.
[00:59:32.000 --> 00:59:48.000]   The new project falls within paragraph 3. That is a legal difference.
[00:59:48.000 --> 00:59:57.000]   Did I answer your question? You had a question?
[00:59:57.000 --> 01:00:03.000]   [ Pause ]
[01:00:03.000 --> 01:00:20.000]   Limitations. We see that paragraph 117 of title 17 of the S code basically set two limitations to the extension of the S closing write.
[01:00:21.000 --> 01:00:30.000]   The possibility to make a copy and the possibility to make adaptation to the code as long as they are needed by the user.
[01:00:30.000 --> 01:00:44.000]   And we criticize the ability of the better possibility to use that second limitation.
[01:00:45.000 --> 01:00:52.000]   Instead in Europe we have something more. Let's read it.
[01:00:53.000 --> 01:01:22.000]   Subject to the provision of article 5 and 6 the exclusive right of the right holder within the meaning of article 2 shall include the right to do otherwise the permanent or temporary reproduction of the computer program by any means and in any form in part or in any form.
[01:01:22.000 --> 01:01:31.000]   In so far as loading, displaying, learning, this is the stuff you can do.
[01:01:32.000 --> 01:01:54.000]   But you can also translate, adapt, arrange and make any alteration of the computer program by reading letter B and the reproduction of the results thereof without prejudice to the rights of the person who alters the program.
[01:01:55.000 --> 01:02:05.000]   That's a more penetrative possibility of adaptation.
[01:02:05.000 --> 01:02:17.000]   And any form of distribution to the poor public including the rental and the original computer program or copies thereof.
[01:02:18.000 --> 01:02:26.000]   So this is the extension of the exclusive right.
[01:02:26.000 --> 01:02:47.000]   The owner can prohibit you from reproducing, loading, displaying, running, transmitting, storing, translate, adapt, arrange, distribute.
[01:02:47.000 --> 01:02:55.000]   Rent up. These are protected exclusive rights.
[01:02:55.000 --> 01:02:59.000]   But then there are the limitations.
[01:03:00.000 --> 01:03:18.000]   First, the first sale doctrine. The first sale in a community of the copy of the program by the right holder or with this incentive that exhausts the distribution of right within the community of that copy.
[01:03:18.000 --> 01:03:25.000]   With the exception of the right to control for the rental of the program or a copy thereof.
[01:03:26.000 --> 01:03:31.000]   I'm trying to see that. You remember when talking about the first sale doctrine.
[01:03:31.000 --> 01:03:35.000]   But that's the interesting part.
[01:03:35.000 --> 01:03:44.000]   Article 5. Article 5.
[01:03:46.000 --> 01:04:15.000]   In the absence of a specific contractual provision, the acts referred to in points A and B of Article 4 shall not require by the right holder, the authorization by the right holder where they are necessary for the use of the computer program by the lawful acquirer in accordance with the intended purposes including for error of the actions.
[01:04:15.000 --> 01:04:21.000]   Remember Article 4.
[01:04:21.000 --> 01:04:24.000]   For 1.
[01:04:24.000 --> 01:04:26.000]   Sorry.
[01:04:26.000 --> 01:04:30.000]   For 1A and B.
[01:04:30.000 --> 01:04:33.000]   For 1A and B.
[01:04:34.000 --> 01:04:53.000]   So unless there is a contract which prohibits some of those uses, those uses do not need the...
[01:04:53.000 --> 01:04:59.000]   Shall not require the authorization by the right holder.
[01:05:00.000 --> 01:05:06.000]   Still the right holder with a contract may limit those rights.
[01:05:06.000 --> 01:05:12.000]   Execution, explain, offer.
[01:05:12.000 --> 01:05:18.000]   Number 2.
[01:05:19.000 --> 01:05:32.000]   The same limitation we find in US Copyright Office. The backup copy.
[01:05:33.000 --> 01:05:52.000]   The making of the copy by a person having the right to use the computer program may not be prevented by contract insofar as it is necessary for that use.
[01:05:53.000 --> 01:06:15.000]   There is a weird word in that sentence. We should be finishing by 13.15, right? So you have time to read. Is that right? I will. I promise.
[01:06:17.000 --> 01:06:37.000]   If someone can find that word and you will get or she will get a 30 at the exam, I will give her the maximum read loud.
[01:06:42.000 --> 01:06:48.000]   You know, there are not many words, so you have a big chance to win.
[01:06:48.000 --> 01:06:59.000]   3.
[01:06:59.000 --> 01:07:01.000]   2.
[01:07:01.000 --> 01:07:06.000]   Necessary? Necessary?
[01:07:06.000 --> 01:07:08.000]   Wrong.
[01:07:10.000 --> 01:07:13.000]   You won't have any penalty, do you?
[01:07:13.000 --> 01:07:15.000]   Could you repeat the question, sir?
[01:07:15.000 --> 01:07:16.000]   What?
[01:07:16.000 --> 01:07:18.000]   Could you repeat the question?
[01:07:18.000 --> 01:07:37.000]   If you can find a weird word in this sentence, I will give you maximum cloud if you are able to reach 30.
[01:07:39.000 --> 01:07:42.000]   Isn't "me" the weird word?
[01:07:42.000 --> 01:07:50.000]   Program?
[01:07:50.000 --> 01:07:56.000]   Correct order.
[01:08:04.000 --> 01:08:14.000]   Okay, time over. The word is contract. The word is contract.
[01:08:14.000 --> 01:08:19.000]   And why is it a weird word?
[01:08:20.000 --> 01:08:35.000]   Because usually we talk about software licenses and we will see, well, it's funny because there was the first draft of the version 3 of the general public license.
[01:08:35.000 --> 01:08:38.000]   You know the general public license we will be talking about.
[01:08:38.000 --> 01:08:47.000]   And version 3 has a clause, a paragraph titled "Not a contract".
[01:08:49.000 --> 01:08:56.000]   We will see that in the US a license is not a contract. It doesn't need to be a contract.
[01:08:56.000 --> 01:09:04.000]   A license is just a defense you may be using in a copyright infringement claim.
[01:09:04.000 --> 01:09:09.000]   Because you don't sign it.
[01:09:11.000 --> 01:09:20.000]   You do not even accept it, but it is the license that gives you the power to use the program.
[01:09:20.000 --> 01:09:25.000]   But when you start using a software, do you accept the term "not a agreement"?
[01:09:25.000 --> 01:09:27.000]   Do you have a contract?
[01:09:29.000 --> 01:09:43.000]   Well, that's an interesting question because it brings me within the misery of contract law in the US.
[01:09:43.000 --> 01:09:49.000]   Usually in the US in order to have a valid contract you need to have consideration.
[01:09:49.000 --> 01:09:53.000]   Which is a way of concluding the contract.
[01:09:54.000 --> 01:10:13.000]   There has been discussion on whether breaking the wrap of the box which contains the software is a consideration.
[01:10:13.000 --> 01:10:17.000]   I believe it is not, but it doesn't matter.
[01:10:19.000 --> 01:10:25.000]   The fact is that in the US you do not need the contract to use the defense.
[01:10:25.000 --> 01:10:41.000]   Since the contract requires consideration, if you want to enforce a contract in the courtroom you need to prove that there was consideration.
[01:10:42.000 --> 01:10:54.000]   Instead, since the license is a defense, you don't need to give evidence on everything but the fact that you have the license.
[01:10:54.000 --> 01:10:57.000]   It's easier, it's cheaper.
[01:10:57.000 --> 01:11:09.000]   And that's the reason why the Free Software Foundation decided to write in that draft that that license was not a contract.
[01:11:10.000 --> 01:11:13.000]   Because you didn't sign it, because they are made.
[01:11:13.000 --> 01:11:37.000]   But European lawyers said, "Well, be careful because we have paragraph 2 of article 5 of the European Directing which says that...
[01:11:37.000 --> 01:11:41.000]   ...it's a contract.
[01:11:41.000 --> 01:11:54.000]   There is no need to write that it's a contract, but they could have written by the license and that's it."
[01:11:54.000 --> 01:11:59.000]   Anyway, that's the reason why I wrote this year.
[01:12:00.000 --> 01:12:07.000]   First, the last one, give me two seconds, okay?
[01:12:07.000 --> 01:12:13.000]   There are no others. Yes, there is another slide. Okay, I will finish tomorrow.
[01:12:13.000 --> 01:12:15.000]   Thank you.
[01:12:15.000 --> 01:12:19.000]   Have a nice lunch and enjoy the argument.
