Part 1

[00:00:00.000 --> 00:00:07.000]   [ Silence ]
[00:00:16.000 --> 00:00:26.000]   a non-disclosure agreement in computer science, and then a weird guy, Richard Stalin.
[00:00:26.000 --> 00:00:31.000]   Did you ever meet him?
[00:00:31.000 --> 00:00:46.000]   I had the honor, it was not an honor, it was a dreadful experience.
[00:00:46.000 --> 00:00:57.000]   Because once he went here in Trento to deliver a conference and he asked me to make the translator.
[00:00:57.000 --> 00:01:05.000]   I said, you know Richard, everyone talks and speaks English in our, well I don't care,
[00:01:05.000 --> 00:01:13.000]   I will tell you what I want to say in your ear and you will translate it.
[00:01:13.000 --> 00:01:17.000]   That was dreadful, I hate that kind of stuff.
[00:01:17.000 --> 00:01:25.000]   The guy who was just, we were in the faculty, at that time it was the faculty of sociology.
[00:01:25.000 --> 00:01:36.000]   And the time he was drinking his coffee and chewing his toes.
[00:01:36.000 --> 00:01:39.000]   That's the guy.
[00:01:39.000 --> 00:01:46.000]   Still the guy is a brilliant coder.
[00:01:46.000 --> 00:01:48.000]   Did you have a question?
[00:01:48.000 --> 00:01:52.000]   I'll show you your eyes.
[00:01:52.000 --> 00:01:59.000]   But personally he's a mess.
[00:01:59.000 --> 00:02:05.000]   We went to Verona to pick him up and we spent lunch with him.
[00:02:05.000 --> 00:02:14.000]   And during the lunch he opened his laptop and didn't talk to us.
[00:02:14.000 --> 00:02:17.000]   Anyway, that's the guy.
[00:02:17.000 --> 00:02:22.000]   He wrote a compiler all alone, a C compiler.
[00:02:22.000 --> 00:02:26.000]   I don't know whether you have been writing compilers yourself,
[00:02:26.000 --> 00:02:35.000]   but I think that writing a compiler is quite a top level achievement for a coder.
[00:02:35.000 --> 00:02:41.000]   And something I would like in my life to be able to achieve,
[00:02:41.000 --> 00:02:48.000]   but I think I'm too old, so I will not try to.
[00:02:48.000 --> 00:02:59.000]   Anyway, Stahman, this weird guy was working.
[00:02:59.000 --> 00:03:03.000]   You know what autism is?
[00:03:03.000 --> 00:03:06.000]   It's a spectrum.
[00:03:06.000 --> 00:03:13.000]   It started with the syndrome of Asperger or something like that.
[00:03:13.000 --> 00:03:18.000]   Probably the software or something like that.
[00:03:18.000 --> 00:03:25.000]   Anyway, I just wanted to point out that dealing, talking with him
[00:03:25.000 --> 00:03:30.000]   is not necessarily a nice experience.
[00:03:30.000 --> 00:03:34.000]   Anyway, he's an amazing coder.
[00:03:34.000 --> 00:03:48.000]   There are reports online of people who spent a couple of days coding with him.
[00:03:48.000 --> 00:03:55.000]   They were mesmerized by his approach.
[00:03:55.000 --> 00:04:00.000]   I don't know whether he had such experience with someone.
[00:04:00.000 --> 00:04:15.000]   I had it with David Ruby, who was the author of the Darks version revision system.
[00:04:15.000 --> 00:04:19.000]   I don't know what.
[00:04:19.000 --> 00:04:22.000]   Do you know Darks?
[00:04:22.000 --> 00:04:24.000]   Anyone using Darks?
[00:04:24.000 --> 00:04:26.000]   No? It's old stuff.
[00:04:26.000 --> 00:04:29.000]   But I'm still using it.
[00:04:29.000 --> 00:04:32.000]   I like it. I prefer it to every...
[00:04:32.000 --> 00:04:38.000]   I'm pretty sure every one of you uses Git, right?
[00:04:38.000 --> 00:04:41.000]   Git sucks.
[00:04:41.000 --> 00:04:44.000]   Darks is nice.
[00:04:44.000 --> 00:04:48.000]   And every time I have to write something and use Git,
[00:04:48.000 --> 00:04:58.000]   I open up a cheat sheet to see how to do in Git
[00:04:58.000 --> 00:05:02.000]   what I know I can do in Darks.
[00:05:02.000 --> 00:05:12.000]   So, Darks is nice. Git is well.
[00:05:12.000 --> 00:05:17.000]   And I had the opportunity to code with a guy who invented Darks.
[00:05:17.000 --> 00:05:21.000]   And he was a brilliant, brilliant coder.
[00:05:21.000 --> 00:05:26.000]   I learned a lot.
[00:05:26.000 --> 00:05:34.000]   So, I can understand those reports about people coding with Richard Stallman.
[00:05:34.000 --> 00:05:39.000]   And reporting their, well, on one side dreadful experience,
[00:05:39.000 --> 00:05:48.000]   and on the other side such as opening, mind-opening, mind-blowing experience
[00:05:48.000 --> 00:05:58.000]   to code with someone who can come up with ideas that you would never think about.
[00:05:58.000 --> 00:06:02.000]   I'm passionate with coding too, okay?
[00:06:02.000 --> 00:06:04.000]   Not just a lot.
[00:06:04.000 --> 00:06:06.000]   I would say that I...
[00:06:06.000 --> 00:06:09.000]   Well, I'm not saying what I'm going to say.
[00:06:09.000 --> 00:06:17.000]   Anyway, Stallman was a researcher, a fellow researcher,
[00:06:17.000 --> 00:06:26.000]   but he was also a technician at the Laboratory of Artificial Intelligence at MIT.
[00:06:26.000 --> 00:06:38.000]   And I know, I look at that place as, you know,
[00:06:38.000 --> 00:06:44.000]   the temple of knowledge when it comes to computer science.
[00:06:44.000 --> 00:06:53.000]   Some of the most intriguing concepts came out from that laboratory.
[00:06:53.000 --> 00:07:00.000]   The list of programming language, do you know it?
[00:07:00.000 --> 00:07:04.000]   You don't. You do.
[00:07:04.000 --> 00:07:08.000]   You should be knowing the list.
[00:07:08.000 --> 00:07:20.000]   Scheme, eLisp, which is a list dialect for the Emacs editor.
[00:07:20.000 --> 00:07:25.000]   Emacs, which was written by Stallman.
[00:07:25.000 --> 00:07:31.000]   You love Emacs? Or do you prefer Veeam?
[00:07:31.000 --> 00:07:34.000]   Veeam.
[00:07:34.000 --> 00:07:38.000]   That's bad. That's bad.
[00:07:38.000 --> 00:07:44.000]   There was a joke that for Emacs user, user,
[00:07:44.000 --> 00:08:00.000]   using Veeam is like dependence.
[00:08:00.000 --> 00:08:04.000]   Just because you do not know the joy of using Emacs.
[00:08:04.000 --> 00:08:08.000]   But I'm kidding. I'm just kidding.
[00:08:08.000 --> 00:08:13.000]   You know there is this war between the Emacs and the Veeam users.
[00:08:13.000 --> 00:08:15.000]   So I'm just kidding.
[00:08:15.000 --> 00:08:18.000]   But I don't like Veeam.
[00:08:18.000 --> 00:08:21.000]   And I love Emacs.
[00:08:21.000 --> 00:08:25.000]   So the guy was working there.
[00:08:25.000 --> 00:08:30.000]   At that time they had that operating system which was called the
[00:08:30.000 --> 00:08:35.000]   Incompatible Time Sharing Operating System.
[00:08:35.000 --> 00:08:42.000]   They used to do jokes and stuff that are, you know this book.
[00:08:42.000 --> 00:09:02.000]   Why not Veeam?
[00:09:02.000 --> 00:09:24.000]   Do you know this book? No one.
[00:09:24.000 --> 00:09:35.000]   It should be reading. It's a joke.
[00:09:35.000 --> 00:09:42.000]   Do you know this one ER Coder? I'm pretty sure you're a very proficient coder.
[00:09:42.000 --> 00:10:00.000]   But still.
[00:10:00.000 --> 00:10:12.000]   This is another book you should be reading but I would like to show you
[00:10:12.000 --> 00:10:22.000]   the course.
[00:10:22.000 --> 00:10:31.000]   Did you take that course, Structuring Interpretation of Computer Programs?
[00:10:31.000 --> 00:10:33.000]   No one?
[00:10:33.000 --> 00:10:37.000]   Well I don't know. You don't know Lisp.
[00:10:37.000 --> 00:10:44.000]   So I get upset. I'm kidding.
[00:10:44.000 --> 00:10:54.000]   It's a long course. 40, 90 years, hours.
[00:10:54.000 --> 00:10:57.000]   There is an introduction to Lisp.
[00:10:57.000 --> 00:11:06.000]   And then there is an introduction on writing a compiler for Lisp in Lisp.
[00:11:06.000 --> 00:11:13.000]   Amazing stuff.
[00:11:13.000 --> 00:11:28.000]   Did you ever study stuff like implementation of programming languages?
[00:11:28.000 --> 00:11:33.000]   Would you know how to implement a programming language?
[00:11:33.000 --> 00:11:36.000]   Yes? No? Maybe?
[00:11:36.000 --> 00:11:41.000]   We did something like that in formal languages and compilers.
[00:11:41.000 --> 00:11:47.000]   The basis. There is a course on formal languages and compilers.
[00:11:47.000 --> 00:11:52.000]   Okay.
[00:11:52.000 --> 00:11:57.000]   If you like that kind of stuff, go and...
[00:11:57.000 --> 00:12:01.000]   Well I spent a month following that course.
[00:12:01.000 --> 00:12:03.000]   It changed my mind.
[00:12:03.000 --> 00:12:05.000]   Literally.
[00:12:05.000 --> 00:12:15.000]   And I started involving functional programming languages and 18 non-functional programming languages.
[00:12:15.000 --> 00:12:19.000]   Anyway.
[00:12:19.000 --> 00:12:31.000]   This course gives you the idea of the atmosphere you were experiencing
[00:12:31.000 --> 00:12:38.000]   in the laboratory of artificial intelligence of the Massachusetts Institute of Technology.
[00:12:38.000 --> 00:12:41.000]   This book gives you the same feeling.
[00:12:41.000 --> 00:12:53.000]   This book is about artificial intelligence as we conceived it in the late 70s, early 80s.
[00:12:53.000 --> 00:13:09.000]   It's amazing because it tries to combine the result of the Godel incompleteness theorem with the artistic work of Escher.
[00:13:09.000 --> 00:13:11.000]   You know what Escher is?
[00:13:11.000 --> 00:13:20.000]   Escher. This guy.
[00:13:20.000 --> 00:13:27.000]   Escher. Escher.
[00:13:27.000 --> 00:13:35.000]   You know the guy who painted this stuff?
[00:13:35.000 --> 00:13:37.000]   Okay?
[00:13:37.000 --> 00:13:44.000]   Amazing, impossible spaces.
[00:13:44.000 --> 00:13:49.000]   But you know, I know you know back.
[00:13:49.000 --> 00:14:06.000]   And the guy that was the instructor, this is the result of the PhD obtained at the Massachusetts Institute of Technology in the late 70s.
[00:14:06.000 --> 00:14:20.000]   If you want to have a great background, a cultural background of what I will be talking about, talking about your regional free software, please have a look at that kind of stuff.
[00:14:20.000 --> 00:14:25.000]   If you like that kind of stuff, you don't like it, it doesn't matter.
[00:14:25.000 --> 00:14:31.000]   I will not be asking you about that during the course examination.
[00:14:31.000 --> 00:14:46.000]   Richard Stavrun was a member of that community, was working there, he was doing research, he was helping to create the schema programming language.
[00:14:46.000 --> 00:14:48.000]   Do you know the schema programming language?
[00:14:48.000 --> 00:14:55.000]   It's a dialect of least, a purely functional programming language.
[00:14:55.000 --> 00:14:59.000]   Great stuff.
[00:14:59.000 --> 00:15:19.000]   He was working on the POSIC, you know, I told you about the POSIC, the idea of creating a standard set of system calls so that you could run the same program on any possible Unix flavors.
[00:15:19.000 --> 00:15:25.000]   So he was there working on times, living there, I mean.
[00:15:25.000 --> 00:15:35.000]   Once, it's very difficult to understand why because Stavrun is very confused about dates and stuff like that.
[00:15:35.000 --> 00:15:48.000]   But once, Xerox, another important, you know, Xerox was the owner of the Palo Alto Research Center.
[00:15:48.000 --> 00:16:05.000]   Do you know the Palo Alto Research Center?
[00:16:05.000 --> 00:16:09.000]   They were the first ones to develop the graphical interface.
[00:16:09.000 --> 00:16:29.000]   Yes. Did you watch the periods of Silicon Valley?
[00:16:29.000 --> 00:16:38.000]   Not in Italian, why?
[00:16:38.000 --> 00:16:44.000]   Do you know who those two guys are?
[00:16:44.000 --> 00:16:47.000]   Well, they are actors.
[00:16:47.000 --> 00:16:55.000]   Do you know who do they represent?
[00:16:55.000 --> 00:17:05.000]   In the foreground there is Steve Jobs, in the background, Biggens.
[00:17:05.000 --> 00:17:09.000]   Watch that movie, please.
[00:17:09.000 --> 00:17:15.000]   If you like a bit of history of computer science.
[00:17:15.000 --> 00:17:25.000]   Because we believe those are two genius that created, you know, personal computing.
[00:17:25.000 --> 00:17:27.000]   Far from it.
[00:17:27.000 --> 00:17:43.000]   They just went to Palo Alto, at the park, at the Palo Alto Research Center, where the, you know, the mouse, the graphical user interface and stuff like that were created.
[00:17:43.000 --> 00:17:53.000]   They got licenses that put those stuff they didn't create and made a huge amount of money.
[00:17:53.000 --> 00:18:01.000]   I mean, Biggens didn't write the basic interpreter neither.
[00:18:01.000 --> 00:18:12.000]   They stole it from a guy who wrote it and, but that's not the story, it's not important.
[00:18:12.000 --> 00:18:33.000]   Just to, you know, make you understand that commercial computer science is just the result of people making money on people's real world.
[00:18:33.000 --> 00:18:39.000]   Done by guys like them. Anyway.
[00:18:39.000 --> 00:19:01.000]   So, if you want to have, you know, cultural understanding of what created the possibility of using those machines, you shouldn't be looking, stay, fool, stay angry, stuff.
[00:19:01.000 --> 00:19:06.000]   You should be looking to see your stuff, okay?
[00:19:06.000 --> 00:19:10.000]   Anyway, let's go back.
[00:19:10.000 --> 00:19:28.000]   A park, the Palo Center Research Center by Serox, they were working on a new revolutionary machinery, the laser printer.
[00:19:28.000 --> 00:19:46.000]   And what they did was to, as a gift, give one of those prototypes of a laser printer to the laboratory of artificial intelligence of MIT.
[00:19:46.000 --> 00:20:08.000]   There was a problem though because the original style man with the old printer brought a driver which was very nice because, you know, even the best printing machine sometimes has some type of failures, paper jumps and stuff like that.
[00:20:08.000 --> 00:20:21.000]   And, you know, there was one printer, everyone was sending jobs to the printer but sometimes a job was stopping for a paper jump and no one didn't care.
[00:20:21.000 --> 00:20:40.000]   The pipes of jobs were, you know, rising and rising and some guy had to go there, you know, know that the first job messed everything up and anything else was printed.
[00:20:40.000 --> 00:21:08.000]   So what someone did was arriving the driver that when the paper jump was blocking the machine, the writer itself was sending an email to everyone in the queue of, with a job in the queue in the machine to let them know that the machine was not printed anymore.
[00:21:08.000 --> 00:21:19.000]   So someone who had to step up, go to the printer machine and fix the problem. Very easy, very efficient.
[00:21:19.000 --> 00:21:46.000]   The problem was that with the new printer machine given by Xerox, Xerox also gave to the AI lab a driver but the driver was just an object code.
[00:21:46.000 --> 00:22:06.000]   Well, Stalman didn't actually care very much because he said, "Well, sometime the source code of the driver will show up and I will fix it."
[00:22:06.000 --> 00:22:18.000]   But still time was passing by and the source code of the driver didn't show up.
[00:22:18.000 --> 00:22:36.000]   So once Stalman met the author of the driver at the conference and said, "Well, please give me the driver so I can implement my stuff in your driver and everyone is happy."
[00:22:36.000 --> 00:23:00.000]   The guy said, "Well, I cannot give you the source code of the driver because I signed a non-disclosure agreement with Xerox. If I give you the source code of the driver, you may gain some information about the internal working of the laser printer and the guy at Xerox don't want you to do that."
[00:23:00.000 --> 00:23:09.000]   So that was the meeting, the first meeting, the first day between Stalman and non-disclosure agreement.
[00:23:09.000 --> 00:23:16.000]   Which led to the creation of the idea of free software.
[00:23:16.000 --> 00:23:36.000]   But I'm tired, you look tired too. That's not true but let's pretend you're tired too. And so there is an article of the Italian Constitution that says that silence is free and free is teaching it.
[00:23:36.000 --> 00:23:53.000]   So I'm free to do whatever I want. So if you don't mind I will stop my lecture here and I will wish you a very nice and resting weekend.
[00:23:53.000 --> 00:23:57.000]   I will meet you next
