[00:00:00.000 --> 00:00:04.000]   Digital rivinagement system and trusted computing.
[01:00:40.000 --> 01:01:00.000]   Well, they are doing that for my security, obviously. But they will not give me the opportunity to upload my digital certificate on the Trusted Platform Module, which is called in a different way here, but it is the same stuff.
[01:01:00.000 --> 01:01:16.000]   The footloader is locked, so I cannot change it. There is no way.
[01:01:16.000 --> 01:01:32.000]   But there is another problem. Suppose that I find a way to route my phone. There is no one, but suppose I can find it.
[01:01:32.000 --> 01:02:00.000]   Well, as far as I know, the problem is that the app of my bank would be able to see that I added my own certificate, which they don't trust, and they wouldn't let me use my bank account from itself.
[01:02:00.000 --> 01:02:06.000]   That is what a remote attestation is all about.
[01:02:06.000 --> 01:02:35.000]   So, Trusted Computing is about users trusting their own devices, but Trusted Computing is also a way for third parties to trust your computer, your cell phone.
[01:02:35.000 --> 01:02:58.000]   And so, to decide whether the application you are using is trustable or not.
[01:02:58.000 --> 01:03:27.000]   You cannot access Netflix, Disney, Colossal, or Tear. If you do not have an ERM, a digital arriving management system enabled on your browser, there is no way.
[01:03:27.000 --> 01:03:36.000]   And they can check it.
[01:03:36.000 --> 01:03:53.000]   Trusted Platform Module is not a digital arriving management system, but as you may understand, it is.
[01:03:53.000 --> 01:04:01.000]   One of the reasons is thinking this something about trust.
[01:04:01.000 --> 01:04:16.000]   Because page 12 is the same as page 13, and page 13 should be different anyway.
[01:04:16.000 --> 01:04:29.000]   Page 13 should be about the legislative attempt to make Trusted Platform Module mandatory for every digital device.
[01:04:29.000 --> 01:04:43.000]   By Srinathar Fritth-Ollings, this is why Trusted Platform Module is also called the Fritth-Chimp.
[01:04:43.000 --> 01:04:49.000]   That legislation was attempted at the beginning of the century.
[01:04:49.000 --> 01:04:55.000]   It was also attempted in Italy by Leonardo Cariglione.
[01:04:55.000 --> 01:04:59.000]   I don't know, did he remember that many?
[01:04:59.000 --> 01:05:11.000]   It was very famous because it was credited for inventing MP3, the audio compression form.
[01:05:11.000 --> 01:05:24.000]   It was a member, a very active member of the MP3 group.
[01:05:24.000 --> 01:05:39.000]   And it tried to convince the Italian government to adopt a legislation for making Trusted Platform Module mandatory for every digital device.
[01:05:39.000 --> 01:05:58.000]   That was not a very good move actually, because that led to an opposition movement against those technologies.
[01:05:58.000 --> 01:06:10.000]   And that's the reason why you haven't heard about Trusted Platform Module, because they changed its name.
[01:06:10.000 --> 01:06:13.000]   Now it's called Secure.
[01:06:13.000 --> 01:06:22.000]   Which is more appealing.
[01:06:22.000 --> 01:06:36.000]   So it is not a digital-run international system, but it is a requirement for every digital-run international system to work.
[01:06:36.000 --> 01:06:55.000]   And even though it was not made mandatory by legislation for every digital device, it was adopted by the computer industry.
[01:06:55.000 --> 01:07:09.000]   And now that stuff is in every digital device you may have.
[01:07:09.000 --> 01:07:24.000]   And that is making possible, that made possible the creation of digital-run international systems.
[01:07:24.000 --> 01:07:53.000]   And I would like to make a step forward to understand the meaning of digital-run management systems within our journey through digital-run.
[01:07:53.000 --> 01:07:59.000]   The history of intellectual property.
[01:07:59.000 --> 01:08:05.000]   You know I started talking about the stationers' copyright, you remember.
[01:08:05.000 --> 01:08:19.000]   And I told you that the stationers' copyright was copyright framed by the stationers for themselves.
[01:08:19.000 --> 01:08:31.000]   It was private law, but in the sense of law made by privates, by private enterprises and individuals.
[01:08:31.000 --> 01:08:36.000]   But still law for everyone.
[01:08:36.000 --> 01:08:44.000]   Digital-run management systems are basically the same.
[01:08:44.000 --> 01:08:54.000]   A digital-run management system makes the legal system useless.
[01:08:54.000 --> 01:08:57.000]   You don't need it.
[01:08:57.000 --> 01:09:05.000]   Well maybe you needed to prevent the circumvention of the ecological, digital-run management system.
[01:09:05.000 --> 01:09:15.000]   But the digital-run management system makes copyright law useless.
[01:09:15.000 --> 01:09:30.000]   By giving the copyright owners the power to create and shape their copyright at their will.
[01:09:30.000 --> 01:09:36.000]   This is called digital self-help.
[01:09:36.000 --> 01:09:51.000]   You know self-help is the possibility, the very limited possibility you have in the real world to make your own justice.
[01:09:51.000 --> 01:10:07.000]   Think about when you take your car to a...
[01:10:07.000 --> 01:10:16.000]   What is the English name of the man impaling the car?
[01:10:16.000 --> 01:10:18.000]   Mechanical?
[01:10:18.000 --> 01:10:22.000]   Anyway, you know what I mean, okay?
[01:10:22.000 --> 01:10:35.000]   You know that if you do not pay, the guy will have the power to keep the car until you pay.
[01:10:35.000 --> 01:10:44.000]   That's a way of... that's a form of self-help.
[01:10:44.000 --> 01:11:02.000]   Because he can keep the car regardless of whether he succeeded in repairing your car.
[01:11:02.000 --> 01:11:12.000]   Regardless, the claim he has is correct or not.
[01:11:12.000 --> 01:11:19.000]   Maybe he's charging you an amount of money which is unreasonable for the working age.
[01:11:19.000 --> 01:11:29.000]   But still he has the power, or she has the power, to use self-help.
[01:11:29.000 --> 01:11:37.000]   Facing your land is another way of keeping people outside self-help.
[01:11:37.000 --> 01:11:47.000]   But usually self-help in the real world is very limited because it's dangerous.
[01:11:47.000 --> 01:11:54.000]   If we let people use self-help, you know, fights may arise.
[01:11:54.000 --> 01:11:56.000]   People start fighting.
[01:11:56.000 --> 01:12:01.000]   And when people start fighting, you don't know where they are headed.
[01:12:01.000 --> 01:12:07.000]   They may be using violence, and violence is not tolerated.
[01:12:07.000 --> 01:12:12.000]   In the digital environment, instead, we do not have violence.
[01:12:12.000 --> 01:12:20.000]   And so, with the White copyright treaty of 1996 and the digital rights management system protection,
[01:12:20.000 --> 01:12:28.000]   we decided that in that environment, self-help is allowed.
[01:12:28.000 --> 01:12:36.000]   But that's the way of privatizing the regulations related to copyright.
[01:12:36.000 --> 01:12:39.000]   I told you about the first sale doctrine.
[01:12:39.000 --> 01:12:51.000]   A digital rights management system may just take the sale doctrine away.
[01:12:51.000 --> 01:13:08.000]   Even though the first sale doctrine is codified by the legal system.
[01:13:08.000 --> 01:13:25.000]   Julie Cohen said that digital self-help should be limited, too.
[01:13:25.000 --> 01:13:37.000]   And that if a digital rights management system is used in order to take away rights granted by the legal system,
[01:13:37.000 --> 01:13:47.000]   you should have a right to hack, to remove the digital rights management system as long as it is possible.
[01:13:47.000 --> 01:14:01.000]   I told you, with trusted computing, this is not actually an option unless you find a flaw in the trusted computing platform.
[01:14:01.000 --> 01:14:19.000]   An acting trusted computing platform, as far as I know, is a very hard job to do.
[01:14:19.000 --> 01:14:33.000]   And that leads me to a final consideration about the use of technologies for shaping human behavior,
[01:14:33.000 --> 01:14:39.000]   which is what a digital rights management system is doing.
[01:14:39.000 --> 01:14:45.000]   Is that related to the legal system?
[01:14:45.000 --> 01:15:14.000]   Do you think a translation of a legal principle into a digital architecture is coherent with our legal tradition?
[01:15:14.000 --> 01:15:24.000]   I used to say to my daughters that legal rules are meant to be broken.
[01:15:24.000 --> 01:15:35.000]   And that's not just a joke.
[01:15:35.000 --> 01:15:44.000]   It would be useless to create legal rules to prohibit behavior which is impossible.
[01:15:44.000 --> 01:15:50.000]   Suppose we are all immortal, we cannot die.
[01:15:50.000 --> 01:16:12.000]   Is it useful to have a rule against killing people? Killing people is just not possible.
[01:16:12.000 --> 01:16:29.000]   There are rules which must be breakable because they may be in contracts with other rules.
[01:16:29.000 --> 01:16:56.000]   For instance, in Italy we have a constitutional code which has the duty of checking whether regular legislation is in contracts with Italian Constitution.
[01:16:56.000 --> 01:17:12.000]   But the only way a private citizen has to access the Italian constitutional code is by violating the rule.
[01:17:12.000 --> 01:17:21.000]   By violating the rule that he or she pretends is unconstitutional.
[01:17:21.000 --> 01:17:29.000]   Many of you are Italians, right?
[01:17:29.000 --> 01:17:50.000]   Probably you know about the DJ Fado and Marco Capato case, about the possibility of someone to commit suicide.
[01:17:50.000 --> 01:18:06.000]   There was a rule in the Italian criminal code prohibiting everyone from helping someone who wants to kill himself or they sell.
[01:18:06.000 --> 01:18:35.000]   But the Italian Constitutional Code said that that rule is not constitutional because there are conditions where someone has a right to kill their son.
[01:18:35.000 --> 01:18:44.000]   Because of mental, of healthy issues and stuff like that.
[01:18:44.000 --> 01:18:56.000]   But the only way to have the Italian Constitutional Code be clear that rule unconstitutional was by violating that rule.
[01:18:56.000 --> 01:19:24.000]   And my professor of constitutional law wrote a book about a right we have in Italy to resist, that is to say to violate unconstitutional legal rules.
[01:19:24.000 --> 01:19:46.000]   If we make a digital infrastructure unbreakable and we pretend to regulate human behavior in that infrastructure, not with the legal rules but with the architecture of the infrastructure,
[01:19:46.000 --> 01:19:57.000]   we are getting away from the legal domain and we are entering another domain.
[01:19:57.000 --> 01:20:10.000]   And keep in mind that while legal rules can be broken, can be violated, digital architectures cannot.
[01:20:10.000 --> 01:20:39.000]   And so, Lawrence Lessig
[01:20:39.000 --> 01:20:58.000]   wrote in 1886 this nice article, "Theory in the Infrastructure."
[01:20:58.000 --> 01:21:18.000]   He also wrote a book called "Another Laws of Silver Space."
[01:21:18.000 --> 01:21:33.000]   You can read it for free in his website. Download the book.
[01:21:33.000 --> 01:21:54.000]   It's a very interesting reading because it was the one that first gave us the idea that the legal system cannot be translated into a digital infrastructure.
[01:21:54.000 --> 01:22:08.000]   Okay, any questions? I think I'm over, so I would like to thank you for your kind attention.
[01:22:08.000 --> 01:22:20.000]   I really appreciated your participation, your questions. It was interesting. It was a nice class.
[01:22:20.000 --> 01:22:33.000]   I'm sure you will be performing very well at the exam, so I will see you then to discuss your paper, written exam, whatever.
[01:22:33.000 --> 01:22:46.000]   I have, well, my best wishes for your career. I hope you will be able to get what you're looking for.
[01:22:46.000 --> 01:22:51.000]   Thank you very much. Bye-bye.
[01:22:51.000 --> 01:22:59.720]   [BLANK_AUDIO]
