[00:00:00.000 --> 00:00:06.000]   Okay, you should now be able to see my desktop.
[01:01:23.000 --> 01:01:29.000]   And the French and the American revolutions.
[01:01:29.000 --> 01:01:35.000]   Provided an answer with which was very different from the traditional one.
[01:01:35.000 --> 01:01:46.000]   Because traditionally we believe that the only power to create rules to shape human behavior was coming from God.
[01:01:46.000 --> 01:01:49.000]   For the darkness.
[01:01:49.000 --> 01:01:54.000]   And believe me that that's a pretty common perception.
[01:01:54.000 --> 01:01:56.000]   Even today.
[01:01:56.000 --> 01:02:04.000]   Think about the Islamic Republic of Iran.
[01:02:04.000 --> 01:02:08.000]   They have a written constitution.
[01:02:08.000 --> 01:02:20.000]   So they have a written constitution regulating the creation of rules with that within that legal system.
[01:02:20.000 --> 01:02:30.000]   But then the written constitution says that the ultimate power creator rules comes from God.
[01:02:30.000 --> 01:02:37.000]   So,
[01:02:37.000 --> 01:02:48.000]   the Constitution of the Republic of Iran is a very Western type of Constitution, if you read it.
[01:02:48.000 --> 01:02:54.000]   But at the very same time it rejects.
[01:02:54.000 --> 01:03:03.000]   One of the major results of the French and the American revolutions.
[01:03:03.000 --> 01:03:07.000]   And the major results of those revolutions is that.
[01:03:07.000 --> 01:03:23.000]   The rules which are going to shape the behavior of people must be created by the people.
[01:03:23.000 --> 01:03:38.000]   Which leads to very difficult problems because how can we map the will of the people for creating rules?
[01:03:38.000 --> 01:03:46.000]   In a very small city state like Athens.
[01:03:46.000 --> 01:03:53.000]   That's very simple. You have a few hundreds or a few thousands of people.
[01:03:53.000 --> 01:04:09.000]   You can gather them in a place big enough and have them vote for new rules to be created.
[01:04:09.000 --> 01:04:19.000]   But what happens in countries with hundreds of millions of people?
[01:04:19.000 --> 01:04:22.000]   That's not possible.
[01:04:22.000 --> 01:04:31.000]   And that leads us to the so-called representative democracy.
[01:04:31.000 --> 01:04:42.000]   The people will be expressed their will by electing people that will have the power to create rules.
[01:04:42.000 --> 01:04:49.000]   And the power of create rules is thus based on the democratic principle.
[01:04:49.000 --> 01:04:58.000]   Not on the power given by God to a king or a queen.
[01:04:58.000 --> 01:05:09.000]   That democratic principle also brings another principle which is the principle of the division of power.
[01:05:09.000 --> 01:05:23.000]   Because if only the people are allowed to create rules to rule their representatives,
[01:05:23.000 --> 01:05:29.000]   then the other powers of the state are not.
[01:05:29.000 --> 01:05:36.000]   And so we came up with the principle of the division of power according to which we have three different powers.
[01:05:36.000 --> 01:05:46.000]   The legislative power, the power to create rules, and that power belongs to the people.
[01:05:46.000 --> 01:05:54.000]   Then we have another power that is the power to apply the rules.
[01:05:54.000 --> 01:06:09.000]   We call it the jurisdictional power.
[01:06:09.000 --> 01:06:24.000]   And the jurisdictional power is the power to apply rules which have been written by the legislative power.
[01:06:24.000 --> 01:06:30.000]   And as we will see, that brings us quite a few problems.
[01:06:30.000 --> 01:06:44.000]   Because when you read a rule, as I said before, when you think about the general principle or when you read a general rule,
[01:06:44.000 --> 01:07:07.000]   and you have to apply it to a specific situation, well, in that process of deriving the specific rule to solve the specific situation from a general rule,
[01:07:07.000 --> 01:07:13.000]   there is a creative process.
[01:07:13.000 --> 01:07:24.000]   But that process, that the creativity of that process must minimize to the maximum extent.
[01:07:24.000 --> 01:07:37.000]   Because otherwise we would have judges which do not represent the will of the people
[01:07:37.000 --> 01:07:43.000]   who are given the power to create rules.
[01:07:43.000 --> 01:07:55.000]   And that doesn't fit within the framework he created by the principle of the division of power.
[01:07:55.000 --> 01:07:57.000]   But there are exceptions.
[01:07:57.000 --> 01:08:05.000]   I'm pretty sure that you know what the President of the United States is doing right now.
[01:08:05.000 --> 01:08:13.000]   Last week he decided to appoint a new judge for the U.S. Supreme Court.
[01:08:13.000 --> 01:08:20.000]   And you know that there is a huge debate going on in the United States about that.
[01:08:20.000 --> 01:08:35.000]   But we will see that this is a very interesting difference between the United States and the other countries belonging to the Western legal tradition.
[01:08:35.000 --> 01:08:49.000]   Because we will see that in the United States and to some extent even in the UK, the United Kingdom, judges have the power to create rules to some extent.
[01:08:49.000 --> 01:08:55.000]   What we call judge made law.
[01:08:55.000 --> 01:09:09.000]   But that power also relies on the fact that many judges in the United States are elected by the people.
[01:09:09.000 --> 01:09:25.000]   And when they are not elected at the federal level, they are nominated by the United States President with the confirmation of the United States Senate.
[01:09:25.000 --> 01:09:34.000]   So there is the possibility for judges to create to a certain extent the rules.
[01:09:34.000 --> 01:09:50.000]   But they have the legitimacy of doing so the right by the fact that they are appointed by political bodies.
[01:09:50.000 --> 01:10:02.000]   So I was talking about the division of power, the legislative power, the only power that through the democratic principle is allowed to create rules.
[01:10:02.000 --> 01:10:11.000]   Then we have the jury's jurisdictional power, which has the power to apply but not to create rules.
[01:10:11.000 --> 01:10:35.000]   And then we have the executive power, which is the power to manage the organization of the state, but by following the legal rules created by the legislative power.
[01:10:35.000 --> 01:10:44.000]   And that took me sometimes to arrive to page four of my slide show.
[01:10:44.000 --> 01:10:58.000]   But that brings me to what I call the scientific approach to the legal system because what is the role of lawyers in that context?
[01:10:58.000 --> 01:11:05.000]   What is my role as a legal scholar?
[01:11:05.000 --> 01:11:27.000]   Well, you know, in the Roman tradition, scholars, legal scholars, Dr. Torres, they were very highly regarded because of their knowledge of the legal system.
[01:11:27.000 --> 01:11:33.000]   But they were also providing solutions.
[01:11:33.000 --> 01:11:39.000]   And judges were using those solutions because judges were appointed by the king.
[01:11:39.000 --> 01:11:49.000]   So they had it. They didn't have the problem of justify their creative process in shaping the rules.
[01:11:49.000 --> 01:11:56.000]   And the king had the ultimate power to create rules, too.
[01:11:56.000 --> 01:12:22.000]   So in that context, the legal scholarship had also some role in the creation or in the proposal of new legal solutions.
[01:12:22.000 --> 01:12:45.000]   But after the French Revolution and the American Revolution, where the legal creative power was strictly confined within the boundaries of the democratic body elected by the people and representing the will of the people,
[01:12:45.000 --> 01:13:01.000]   in that context, judges and legal scholars lost their power, their informal power to create rules.
[01:13:01.000 --> 01:13:15.000]   Well, that's not true, as we will see. The legal Western tradition is based on, you know, quite some number of lies.
[01:13:15.000 --> 01:13:19.000]   The division of power is one of them.
[01:13:19.000 --> 01:13:35.000]   The fact that judges are, as they were called right after the French Revolution, must be, judges must be the mouth of the law.
[01:13:35.000 --> 01:13:50.000]   You know, just an instrument for the law to appear in the world.
[01:13:50.000 --> 01:13:58.000]   That's not true. As I said, there is a creative process in legal interpretation.
[01:13:58.000 --> 01:14:02.000]   But the same applies to legal scholars.
[01:14:02.000 --> 01:14:13.000]   So whereas before the French Revolution, legal scholars were perceived as, you know,
[01:14:13.000 --> 01:14:25.000]   people capable of providing legal new legal solutions for new problems, and they were part of the role creation process.
[01:14:25.000 --> 01:14:36.000]   After the French Revolution, they started to lose that role, and they started to confine themselves within the boundaries
[01:14:36.000 --> 01:14:40.000]   created by the principle of the division of power.
[01:14:40.000 --> 01:14:55.000]   So they started to perceive their role as a role very similar to every other type of scientist.
[01:14:55.000 --> 01:15:05.000]   They describe the phenomena they are studying.
[01:15:05.000 --> 01:15:18.000]   Just describing them as clearly, as deeply, as precisely as possible.
[01:15:18.000 --> 01:15:34.000]   And by doing so, they were also trying to organize the rules created by democratic bodies with the power to create them
[01:15:34.000 --> 01:15:42.000]   in order to show or to fix conflicts.
[01:15:42.000 --> 01:15:56.000]   Well, that's pretty funny. I don't want to get too deep into this brief history and brief introduction to the legal system
[01:15:56.000 --> 01:16:02.000]   because I don't want it to be too complicated. Otherwise, you wouldn't probably understand too much.
[01:16:02.000 --> 01:16:23.000]   You would be overwhelmed by the amount of information I'm providing you, but still,
[01:16:23.000 --> 01:16:34.000]   the democratic body representing the will of the people, the parliament, or more abstractly, the legislator
[01:16:34.000 --> 01:16:50.000]   is perceived as being rational with full information, with the capacity, with the perfect knowledge of the legal system.
[01:16:50.000 --> 01:17:02.000]   And from that assumption, we derive the fact that the legal system must be a system coherent without contradictions,
[01:17:02.000 --> 01:17:12.000]   without any lack of rules, without imperfection.
[01:17:12.000 --> 01:17:25.000]   And so the role of the legal scholar is to describe that system and make that system clear when it is not.
[01:17:25.000 --> 01:17:36.000]   As I said, those are assumptions. If we look at Italian legislation, make reference to something I have some knowledge of,
[01:17:36.000 --> 01:17:44.000]   well, we would see that Italian legislation is just a big mess with a huge number of contradictions,
[01:17:44.000 --> 01:17:53.000]   far, very far from being a system.
[01:17:53.000 --> 01:18:12.000]   Still, as a legal scholar, I perceive my role exactly as the role of a scientist studying, I don't know,
[01:18:12.000 --> 01:18:27.000]   as the role of a scientist, as the role of a scientist studying stars and classifying them, or scientists studying animals and classifying them according to their nature, to their region,
[01:18:27.000 --> 01:18:32.000]   to their behavior, and so on and so forth.
[01:18:32.000 --> 01:18:40.000]   That's what I mean with a scientific approach to the legal system.
[01:18:40.000 --> 01:18:48.000]   I have an object, the legal system, and I have to study that complex system.
[01:18:48.000 --> 01:19:02.000]   And I studied by organizing the rules which form the system itself.
[01:19:02.000 --> 01:19:18.000]   Let's try to find some criteria in order to organize those rules.
[01:19:18.000 --> 01:19:36.000]   Those criteria will help me divide the labor among legal scholars, because since the parliament really enjoys the power to create rules,
[01:19:36.000 --> 01:19:50.000]   every parliament in the world started creating rules at the pace legal scholars have very difficult time in catching up.
[01:19:50.000 --> 01:20:05.000]   Maybe I have to rephrase the last sentence. What I was trying to say is that the number of rules created by parliaments has increased so much.
[01:20:05.000 --> 01:20:17.000]   That not any single mind can keep them together and have full knowledge of all of them.
[01:20:17.000 --> 01:20:27.000]   And so even among legal scholars, we have to divide our job in different sectors.
[01:20:27.000 --> 01:20:43.000]   In the hope that each sector contains a small number, a number of rules, which is small enough to be managed by a single mind.
[01:20:43.000 --> 01:20:51.000]   Well, far from it, but anyway, we are trying to do that.
[01:20:51.000 --> 01:21:10.000]   And so the next time we will briefly see the different labor divisions among legal scholars.
[01:21:10.000 --> 01:21:27.000]   We will see constitutional law and constitutional legal scholars, what they are studying. We will see criminal lawyers, what they are studying administrative lawyers, what they are studying, and so on, and so forth.
[01:21:27.000 --> 01:21:42.000]   But I believe that we are running out of time. So I'm going to ask you if you have any other questions.
[01:21:42.000 --> 01:21:58.000]   Go back to.
[01:21:58.000 --> 01:22:06.000]   Okay, so do. Did we solve the problem we had last time I believe yes.
[01:22:06.000 --> 01:22:24.000]   I hope you will. Well, I don't know whether you enjoyed my lecture. That's not the problem. Actually, my only concern is whether the lecture was
[01:22:24.000 --> 01:22:38.000]   about whether you had the possibility to understand at least something or what I said.
[01:22:38.000 --> 01:22:43.000]   If you can give me a very. Yes, thank you very much.
[01:22:43.000 --> 01:22:48.000]   Yeah.
[01:22:48.000 --> 01:23:08.000]   Oh, clear. Thank you. Thank you. Okay, so I recorded this lecture, I will download that. That's a very complicated procedure because I have to download the video recording and then upload that in in in culture.
[01:23:08.000 --> 01:23:33.000]   I will do that as soon as possible. I will see you on Wednesday at 1030, we will be using these very same link. So these very same zoom room. I don't know whether you have the proposal to change and switch to Google meta.
[01:23:33.000 --> 01:23:43.000]   I don't like zoom. If I must tell you the truth. But anyway,
[01:23:43.000 --> 01:24:02.000]   we may change to Google meet. I'm not sure if recording the lectures with Google meta and sharing the desktop is as easy as it is with a zoom. Anyway, we have also that opportunity.
[01:24:02.000 --> 01:24:11.000]   Okay, so thank you very much for your attention. As I said, I will meet you on Wednesday.
[01:24:11.000 --> 01:24:21.000]   On Thursday or Friday, I will try to upload a third lecture so that we could.
[01:24:21.000 --> 01:24:33.000]   My plan is by the end of the next week to have done all the six lectures and so not to leave anything behind. Okay.
[01:24:33.000 --> 01:24:38.000]   Okay, thank you very much. I will see you
[01:24:38.000 --> 01:24:40.000]   Wednesday.
[01:24:40.000 --> 01:24:47.000]   Thank you.


whisper_print_timings:     load time =   121.33 ms
whisper_print_timings:     fallbacks =   2 p /   1 h
whisper_print_timings:      mel time =  3777.79 ms
whisper_print_timings:   sample time =  4818.31 ms /  9627 runs (    0.50 ms per run)
whisper_print_timings:   encode time = 1035264.69 ms /   235 runs ( 4405.38 ms per run)
whisper_print_timings:   decode time = 103106.91 ms /  9389 runs (   10.98 ms per run)
whisper_print_timings:   prompt time = 161929.36 ms /   236 runs (  686.14 ms per run)
whisper_print_timings:    total time = 1309154.88 ms
whisper_init_from_file_no_state: loading model from 'models/ggml-small.en.bin'
whisper_model_load: loading model
whisper_model_load: n_vocab       = 51864
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 768
whisper_model_load: n_audio_head  = 12
whisper_model_load: n_audio_layer = 12
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 768
whisper_model_load: n_text_head   = 12
whisper_model_load: n_text_layer  = 12
whisper_model_load: n_mels        = 80
whisper_model_load: ftype         = 1
whisper_model_load: qntvr         = 0
whisper_model_load: type          = 3
whisper_model_load: adding 1607 extra tokens
whisper_model_load: model ctx     =  464.68 MB
whisper_model_load: model size    =  464.44 MB
whisper_init_state: kv self size  =   15.75 MB
whisper_init_state: kv cross size =   52.73 MB
whisper_init_state: compute buffer (conv)   =   19.96 MB
whisper_init_state: compute buffer (encode) =  122.04 MB
whisper_init_state: compute buffer (cross)  =    5.86 MB
whisper_init_state: compute buffer (decode) =   36.17 MB

system_info: n_threads = 6 / 8 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | FMA = 1 | NEON = 0 | ARM_FMA = 0 | METAL = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | SSE3 = 1 | SSSE3 = 1 | VSX = 0 | COREML = 0 | OPENVINO = 0 |

main: processing '../Downloads/lecture-0_2.wav' (84646952 samples, 5290.4 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:13.780]   Okay, sorry I'm a bit late. Sorry I didn't upload our first lecture, but I have to edit
[00:00:13.780 --> 00:00:24.800]   it because it was cut into pieces. Moreover, if you don't mind, I would like you not to
[00:00:24.800 --> 00:00:33.600]   join our meeting too early because it will start recording, so then I have to cut and
[00:00:33.600 --> 00:00:43.800]   edit the video quite a lot, which is a bit troublesome, not a real problem anyway, if
[00:00:43.800 --> 00:00:55.120]   you can. Okay, so please remember that if you want to ask a question, you can use the
[00:00:55.120 --> 00:01:04.040]   chat obviously, but since I'm not able to keep track of the chat when I'm sharing my
[00:01:04.040 --> 00:01:13.000]   desktop, I would like also to use the "rise your hand" or something like that in Zoom,
[00:01:13.000 --> 00:01:31.280]   so I can be reminded that there is a question in the chat room. Okay, so first of all, let
[00:01:31.280 --> 00:01:54.920]   me share my desktop. Okay, last time I, well, what I did last time was actually quite, how
[00:01:54.920 --> 00:02:08.080]   can I say, quite, it was an attempt in an hour and a half to give you a very brief and
[00:02:08.080 --> 00:02:18.240]   short overview of the historical development of the Western legal tradition and you know,
[00:02:18.240 --> 00:02:30.400]   the Western legal tradition spans over more than 2,000 years, so that was obviously very,
[00:02:30.400 --> 00:02:47.040]   very, just a very brief summary to point out some of the main character of that tradition,
[00:02:47.040 --> 00:03:04.920]   and if you remember, we stopped, well, let me rephrase, and we ended up talking about
[00:03:04.920 --> 00:03:16.480]   the importance of the French and the American Revolution, because after those revolutions,
[00:03:16.480 --> 00:03:28.080]   we had quite a deep change in our perception of how rules, legal rules should be created,
[00:03:28.080 --> 00:03:35.720]   and we talked about the division of power, and we talked about the fact that the power
[00:03:35.720 --> 00:03:49.920]   to create rules is basically linked with the will of the people, which in Western democracies,
[00:03:49.920 --> 00:03:59.800]   in Western contemporary democracies, means basically that the legislative power has,
[00:03:59.800 --> 00:04:12.440]   is the power exercised by Parliament of elected representatives of the people, we call that
[00:04:12.440 --> 00:04:23.600]   representative democracy, and I told you that after that change in our perspective on rule
[00:04:23.600 --> 00:04:34.400]   creation, also the role of legal scholars started to change, and whereas before legal
[00:04:34.400 --> 00:04:44.360]   scholars were trying to provide new solutions for new problems, we will say that, well,
[00:04:44.360 --> 00:04:51.320]   I don't know whether we will have time to dig into that, but there are parts of the
[00:04:51.320 --> 00:05:00.480]   legal systems which have been basically created by legal scholarship, specifically contract
[00:05:00.480 --> 00:05:14.040]   and property law, but after that, after those revolutions, the role of legal scholarship
[00:05:14.040 --> 00:05:27.080]   was confined within the boundaries of a scientific approach, which, as you can see, consists
[00:05:27.080 --> 00:05:35.920]   in the categorization of legal rules according to their origin and their content.
[00:05:35.920 --> 00:05:47.320]   That led to a division of labor among legal scholars, each one focusing on a small portion
[00:05:47.320 --> 00:05:49.000]   of the legal system.
[00:05:49.000 --> 00:05:59.720]   Moreover, I told you that when we started perceiving the law as a tool for social control,
[00:05:59.720 --> 00:06:10.280]   out of technology to shape human behavior, we have seen a huge growth of the number of
[00:06:10.280 --> 00:06:13.840]   rules created by the Parliament.
[00:06:13.840 --> 00:06:30.680]   That led actually to something new which was not actually unheard of before, but had a
[00:06:30.680 --> 00:06:47.520]   new strength, so to speak.
[00:06:47.520 --> 00:06:57.360]   This is what we called codification, the fact that with a growing number of rules, there
[00:06:57.360 --> 00:07:08.280]   was the perception that those rules should be somehow coordinated even by the legislator,
[00:07:08.280 --> 00:07:24.440]   and that led to the creation of codes, which are basically laws pertaining to a certain
[00:07:24.440 --> 00:07:34.360]   domain and united within a system.
[00:07:34.360 --> 00:07:45.400]   To give you an example, a civil code or a code of criminal procedure or a commercial code.
[00:07:45.400 --> 00:08:02.160]   We will see that the civil code tries to create a system of coherent rules pertaining the relationship
[00:08:02.160 --> 00:08:05.280]   among private individuals.
[00:08:05.280 --> 00:08:21.880]   A criminal law code or a criminal code instead is just the code containing all the rules defining
[00:08:21.880 --> 00:08:26.680]   crimes and punishment and so on and so forth.
[00:08:26.680 --> 00:08:35.320]   The growing number of rules created by the Parliament led to the necessity of creating
[00:08:35.320 --> 00:08:36.320]   a system.
[00:08:36.320 --> 00:08:43.640]   But as I told you last time, we are talking about a legal system because we believe that
[00:08:43.640 --> 00:08:59.520]   every rule created by a legislator should fit within a body, a coherent body of rules.
[00:08:59.520 --> 00:09:15.640]   Going back to the work of legal scholars and their attempt to describe the system of rules,
[00:09:15.640 --> 00:09:27.680]   we started dividing the rules and categorizing them according to their role and their nature
[00:09:27.680 --> 00:09:32.760]   and their region and their content.
[00:09:32.760 --> 00:09:38.320]   Within the Western legal tradition, we have a basic dichotomy, which is public law versus
[00:09:38.320 --> 00:09:40.440]   private law.
[00:09:40.440 --> 00:09:46.680]   As you see here in my definition, public law is the area of the law governing the relationship
[00:09:46.680 --> 00:09:53.200]   between individuals, citizens and companies, and the state.
[00:09:53.200 --> 00:10:09.640]   Where the state has a sort of superior legal status compared to the status of citizens
[00:10:09.640 --> 00:10:11.320]   and companies.
[00:10:11.320 --> 00:10:24.240]   Which basically means that public law is the set of rules where citizens must obey somehow
[00:10:24.240 --> 00:10:37.840]   to the superior powers of the state.
[00:10:37.840 --> 00:10:44.080]   But even public law has been subdivided into different legal topics.
[00:10:44.080 --> 00:10:49.120]   We have constitutional law, we have administrative law, we have criminal law and so on and so
[00:10:49.120 --> 00:10:51.480]   forth.
[00:10:51.480 --> 00:11:01.480]   We have a macro-category public law, which is then subdivided into smaller area.
[00:11:01.480 --> 00:11:07.280]   We will very briefly look at that.
[00:11:07.280 --> 00:11:11.320]   The second part of the dichotomy is private law.
[00:11:11.320 --> 00:11:17.160]   Private law is that part of the legal system that involves relationships between individuals,
[00:11:17.160 --> 00:11:30.640]   such as the law of contract or towards the law of obligation and so on and so forth.
[00:11:30.640 --> 00:11:39.200]   The main character of private law is the fact that individuals are sort of equal before the
[00:11:39.200 --> 00:11:40.200]   law.
[00:11:40.200 --> 00:11:50.920]   That is to say, you do not have a party which is more powerful of another.
[00:11:50.920 --> 00:12:02.280]   And unlike public law where the state has powers which can be exercised over private
[00:12:02.280 --> 00:12:11.920]   individuals, instead within the domain of private law, individuals are equal.
[00:12:11.920 --> 00:12:20.680]   And we will say that in order to create relationship among those individuals, everyone involved
[00:12:20.680 --> 00:12:30.960]   in the relationship must give her or his consent in order to create the relationship.
[00:12:30.960 --> 00:12:37.920]   Whereas instead, within the domain of public law, consent is not needed.
[00:12:37.920 --> 00:12:54.240]   The state has the power to use violence, the force to pretend given behavior by individuals.
[00:12:54.240 --> 00:13:04.600]   And if they do not comply, the state will have the power to enforce those rules without
[00:13:04.600 --> 00:13:11.400]   any intervention of the individual's will.
[00:13:11.400 --> 00:13:23.600]   As I said, and now we are talking briefly about public law, public law has been subdivided
[00:13:23.600 --> 00:13:31.320]   into many different subdomains.
[00:13:31.320 --> 00:13:42.800]   And one of the most important ones, sorry, the most important one is constitutional law.
[00:13:42.800 --> 00:13:46.440]   This is a definition taken from Wikipedia.
[00:13:46.440 --> 00:13:54.280]   Constitutional law is the study of foundational laws that govern the scope of powers and authorities
[00:13:54.280 --> 00:14:04.200]   of various bodies in relation to the creation and execution of other laws by a government.
[00:14:04.200 --> 00:14:16.240]   That's quite interesting because basically constitutional law is the set of rules regulating
[00:14:16.240 --> 00:14:30.000]   the organization of the state, but also it defines the basic freedoms and rights of individuals
[00:14:30.000 --> 00:14:35.320]   being governed by that state.
[00:14:35.320 --> 00:14:44.280]   And as you may understand, constitutional law is something which is present even without
[00:14:44.280 --> 00:14:47.760]   a written constitution.
[00:14:47.760 --> 00:15:01.080]   But and that's one of the most interesting aspects of the French and the American revolutions.
[00:15:01.080 --> 00:15:10.320]   Within the Western legal tradition, we came up with the idea that we should have a written
[00:15:10.320 --> 00:15:22.200]   constitution stating how explicitly, how the state is organized, which are the powers,
[00:15:22.200 --> 00:15:33.120]   the legislative power, the judiciary power, and the administrative powers.
[00:15:33.120 --> 00:15:44.680]   And also the constitution must provide an explicit set of individual rights.
[00:15:44.680 --> 00:15:51.560]   But we need also to keep in mind that this is not always true.
[00:15:51.560 --> 00:16:01.000]   For instance, one of the major legal systems, one of the most important legal system belonging
[00:16:01.000 --> 00:16:08.640]   to the Western legal tradition, I referring to the legal system of the United Kingdom,
[00:16:08.640 --> 00:16:16.080]   doesn't have a written constitution.
[00:16:16.080 --> 00:16:27.720]   And instead in the United States, which is a legal system directly derived from the UK
[00:16:27.720 --> 00:16:28.720]   legal system.
[00:16:28.720 --> 00:16:33.280]   Remember the United States were a colony of the United Kingdom.
[00:16:33.280 --> 00:16:38.400]   Instead in the United States, we do have a written constitution.
[00:16:38.400 --> 00:16:44.880]   We have a written constitution, which it's a short one.
[00:16:44.880 --> 00:16:53.000]   And it organizes the United States at the federal level.
[00:16:53.000 --> 00:17:04.800]   Indeed, we do have also 50 state constitutions, which are organized in the state at the state
[00:17:04.800 --> 00:17:08.360]   level.
[00:17:08.360 --> 00:17:14.120]   And at the federal level, we have that small constitution.
[00:17:14.120 --> 00:17:21.280]   But right after the adoption of that constitution, a new part of that constitution was created
[00:17:21.280 --> 00:17:35.840]   and that part is called the Bill of Rights, which basically sets a few basic and fundamental
[00:17:35.840 --> 00:17:47.360]   rights that every United States citizens enjoy.
[00:17:47.360 --> 00:18:02.200]   As I said, constitutional law has been present everywhere in every community, which organized
[00:18:02.200 --> 00:18:06.760]   with a central authority we call the state.
[00:18:06.760 --> 00:18:14.600]   But written constitutions instead are a very recent phenomenon.
[00:18:14.600 --> 00:18:20.440]   As I said, public law does not consist only in constitutional law.
[00:18:20.440 --> 00:18:28.400]   We also have other domains which are part of public law.
[00:18:28.400 --> 00:18:35.440]   The two most important domains, I believe, are criminal law and administrative law.
[00:18:35.440 --> 00:18:43.320]   Criminal law, which is also known as penal law, that's the European terminology, is the
[00:18:43.320 --> 00:18:49.120]   body of rules that punishes criminals for committing offenses against the state or other
[00:18:49.120 --> 00:18:53.440]   individuals or organizations.
[00:18:53.440 --> 00:18:57.360]   Why is that part of public law?
[00:18:57.360 --> 00:19:13.160]   Because basically the power to punish by confining people in prison or even--
[00:19:13.160 --> 00:19:29.000]   We have a very huge amount of different type of punishment from corporal punishments to
[00:19:29.000 --> 00:19:32.800]   death penalty and so on and so forth.
[00:19:32.800 --> 00:19:39.560]   But every time we are talking about criminal law, we are talking about the power of the
[00:19:39.560 --> 00:19:53.440]   state to impose over individuals a punishment if after a procedure someone is found guilty
[00:19:53.440 --> 00:19:57.480]   of criminal offense.
[00:19:57.480 --> 00:20:02.480]   Administrative law instead is the body of law that arises from the activity of the administrative
[00:20:02.480 --> 00:20:07.480]   agencies of the government.
[00:20:07.480 --> 00:20:13.240]   Also administrative law is very important from our perspective because it quite deeply
[00:20:13.240 --> 00:20:18.400]   defines the Western legal tradition.
[00:20:18.400 --> 00:20:25.320]   After the French and the American revolutions, we believe that administrative agencies of
[00:20:25.320 --> 00:20:32.400]   the government must behave according to legal rules.
[00:20:32.400 --> 00:20:42.520]   They are not allowed to take actions if there is not a law giving them the power to take
[00:20:42.520 --> 00:20:44.520]   action.
[00:20:44.520 --> 00:20:52.000]   That's the reason why within the Western legal tradition, administrative law is very important
[00:20:52.000 --> 00:21:00.520]   and together with constitutional law defines the organizations and the power of the state
[00:21:00.520 --> 00:21:05.040]   over private citizens.
[00:21:05.040 --> 00:21:15.480]   Then we have private law and as I said, private law is the domain of the legal system which
[00:21:15.480 --> 00:21:24.440]   defines legal relationships among individuals and private organizations.
[00:21:24.440 --> 00:21:29.800]   That can be also divided into different subdomains.
[00:21:29.800 --> 00:21:39.280]   For instance, civil law which regulates the economic relationships among persons and private
[00:21:39.280 --> 00:21:42.640]   organizations.
[00:21:42.640 --> 00:21:49.880]   For instance, I think yes, we will talk about that later on, but for instance, contract
[00:21:49.880 --> 00:21:58.560]   law liability rules and stuff like property are belonging to civil law.
[00:21:58.560 --> 00:22:07.560]   That family law regulates economic and non-economic relationships between married individuals and
[00:22:07.560 --> 00:22:15.160]   between them and their children.
[00:22:15.160 --> 00:22:23.720]   We believe that, we lawyers believe that private civil law and family law are two distinct
[00:22:23.720 --> 00:22:31.400]   bodies of rules because whereas civil law only deals with economic relationship among
[00:22:31.400 --> 00:22:41.000]   individuals, family law deals with economic and non-economic relationships.
[00:22:41.000 --> 00:22:52.480]   Think for instance, the relationship between parents and children.
[00:22:52.480 --> 00:22:57.440]   Or the relationship among married individuals.
[00:22:57.440 --> 00:23:05.080]   We do have some economic type of relationship.
[00:23:05.080 --> 00:23:11.840]   Married individuals must support each other economically.
[00:23:11.840 --> 00:23:20.600]   But there are also non-economic type of relationship of legal relationships.
[00:23:20.600 --> 00:23:27.280]   The duty of the parents to take care of the education of their children for instance,
[00:23:27.280 --> 00:23:38.360]   that's not an economically defined legal relation.
[00:23:38.360 --> 00:23:44.640]   That's outside the boundaries of economic relations.
[00:23:44.640 --> 00:23:47.560]   Then we have commercial law.
[00:23:47.560 --> 00:23:54.800]   Commercial law is quite interesting because unlike civil law and family law which have
[00:23:54.800 --> 00:24:04.400]   been basically created at first by legal scholarship but later on after the revolutions we have
[00:24:04.400 --> 00:24:12.400]   been talking about, civil law and family law has been codified by the legislator.
[00:24:12.400 --> 00:24:28.320]   Where the commercial law has been created by you know, entrepreneurs.
[00:24:28.320 --> 00:24:38.120]   It was a sort of customary law which has been created by commercial practices.
[00:24:38.120 --> 00:24:47.680]   We will not dig into commercial law obviously but if we think about economic organizations
[00:24:47.680 --> 00:25:11.040]   like corporations or like commercial contracts, these are the result of a sort of repetition
[00:25:11.040 --> 00:25:28.000]   of commercial practices which have been perceived after some time as mandatory.
[00:25:28.000 --> 00:25:38.560]   So unlike civil law and family law, commercial law has been created by the practice of firms
[00:25:38.560 --> 00:25:48.680]   and economic organizations and only in a second time those practices have been codified into
[00:25:48.680 --> 00:25:51.920]   legal rules.
[00:25:51.920 --> 00:25:58.360]   That's the reason why I'm talking about commercial law because it's a quite peculiar domain of
[00:25:58.360 --> 00:26:10.680]   the legal system where rules have been codified but have not been created explicitly by a
[00:26:10.680 --> 00:26:12.800]   legislator.
